tripID,CLS_ID,nbAnglers,return_date_ymd,state,RED SNAPPER_kept,RED SNAPPER_released,VERMILION SNAPPER_kept,VERMILION SNAPPER_released,KING MACKEREL_kept,KING MACKEREL_released,SPANISH MACKEREL_kept,SPANISH MACKEREL_released,RED GROUPER_kept,RED GROUPER_released,WHITE GRUNT_kept,WHITE GRUNT_released,RED PORGY_kept,RED PORGY_released
7455,210,4,2017-01-17,FL,NA,NA,NA,NA,NA,NA,NA,NA,0,4,20,5,NA,NA
7456,192,5,2017-01-17,FL,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA,NA,NA
7457,201,4,2017-01-17,FL,NA,NA,NA,NA,NA,NA,NA,NA,8,3,NA,NA,NA,NA
7458,159,6,2017-01-16,FL,NA,NA,NA,NA,NA,NA,NA,NA,15,36,NA,NA,NA,NA
7460,192,6,2017-01-18,FL,NA,NA,NA,NA,NA,NA,NA,NA,13,25,NA,NA,NA,NA
7461,159,6,2017-01-17,FL,NA,NA,NA,NA,NA,NA,NA,NA,12,32,NA,NA,NA,NA
7463,246,4,2017-01-04,FL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,35,NA,NA
7464,246,6,2017-01-12,FL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,40,NA,NA
7465,246,4,2017-01-14,FL,NA,NA,NA,NA,0,6,NA,NA,NA,NA,NA,NA,NA,NA
7466,246,3,2017-01-15,FL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,25,NA,NA
7467,246,5,2017-01-15,FL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,30,NA,NA
7468,192,6,2017-01-19,FL,NA,NA,NA,NA,NA,NA,NA,NA,13,15,NA,NA,NA,NA
7470,159,6,2017-01-18,FL,NA,NA,NA,NA,NA,NA,NA,NA,12,18,NA,NA,NA,NA
7471,192,5,2017-01-20,FL,NA,NA,NA,NA,NA,NA,NA,NA,1,15,NA,NA,NA,NA
7473,159,6,2017-01-19,FL,NA,NA,NA,NA,NA,NA,NA,NA,12,24,NA,NA,NA,NA
7474,192,4,2017-01-20,FL,NA,NA,NA,NA,NA,NA,NA,NA,0,25,NA,NA,NA,NA
7477,194,4,2017-01-20,FL,NA,NA,NA,NA,NA,NA,NA,NA,8,40,NA,NA,NA,NA
7478,158,6,2017-01-20,FL,NA,NA,28,20,NA,NA,NA,NA,5,57,4,28,NA,NA
7479,158,6,2017-01-21,FL,NA,NA,24,14,NA,NA,NA,NA,4,62,9,21,NA,NA
7480,259,2,2017-01-21,FL,NA,NA,NA,NA,NA,NA,NA,NA,2,0,NA,NA,NA,NA
7481,194,6,2017-01-21,FL,NA,NA,NA,NA,NA,NA,NA,NA,7,40,NA,NA,NA,NA
7482,192,6,2017-01-21,FL,NA,NA,NA,NA,NA,NA,NA,NA,12,25,NA,NA,NA,NA
7483,194,6,2017-01-30,FL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7484,194,5,2017-01-26,FL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7485,210,11,2017-01-27,FL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,2,NA,NA
7486,194,4,2017-01-27,FL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7488,242,6,2017-01-20,FL,NA,NA,NA,NA,NA,NA,NA,NA,0,7,5,10,NA,NA
7489,242,6,2017-01-31,FL,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7492,159,6,2017-01-20,FL,NA,NA,NA,NA,NA,NA,NA,NA,14,19,NA,NA,NA,NA
7493,154,5,2017-01-19,FL,0,19,NA,NA,NA,NA,NA,NA,0,2,25,29,NA,NA
7494,154,4,2017-02-01,FL,NA,NA,NA,NA,NA,NA,NA,NA,0,2,35,27,NA,NA
7495,202,3,2017-02-01,FL,NA,NA,NA,NA,NA,NA,NA,NA,5,12,NA,NA,NA,NA
7496,158,4,2017-02-01,FL,NA,NA,NA,NA,NA,NA,NA,NA,0,17,2,24,NA,NA
7497,139,6,2017-02-01,AL,NA,NA,22,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7498,159,3,2017-01-31,FL,NA,NA,NA,NA,NA,NA,NA,NA,6,2,NA,NA,NA,NA
7500,242,4,2017-02-02,FL,0,5,NA,NA,NA,NA,NA,NA,NA,NA,6,15,NA,NA
7506,202,4,2017-02-02,FL,NA,NA,NA,NA,NA,NA,NA,NA,4,12,NA,NA,NA,NA
